task,category,metric,model_key,llm_full,llm_demographics,llm_card,floor,ridge,beats_floor,beats_summary_reference,beats_ridge,delta_vs_floor,delta_vs_ridge
ahi,phenotype_recovery,r2,claude-haiku-4.5,0.1457730575472359,0.1331399114177477,-0.0262266742730967,0.2402905551686185,0.2547671807755658,False,False,False,-0.0945174976213826,-0.1089941232283299
ahi,phenotype_recovery,r2,claude-opus-4.8,0.196535907647513,0.2583789470703356,0.2101131569519531,0.2402905551686185,0.2547671807755658,False,False,False,-0.0437546475211054,-0.0582312731280527
ahi,phenotype_recovery,r2,gemini-3.1-flash-lite,-0.0215333806955149,0.0602501723843741,-0.0303564910639495,0.2402905551686185,0.2547671807755658,False,False,False,-0.2618239358641334,-0.2763005614710807
ahi,phenotype_recovery,r2,gemini-3.1-pro,0.1368296566290937,0.2072472053159586,0.1695285885123902,0.2402905551686185,0.2547671807755658,False,False,False,-0.1034608985395247,-0.117937524146472
ahi,phenotype_recovery,r2,gemini-3.7-flash,0.2742451890422618,0.2300152374497773,0.2002869467943218,0.2402905551686185,0.2547671807755658,True,True,False,0.0118301762286621,-0.0219351380416945
ahi,phenotype_recovery,r2,gpt-5.4-nano,-0.0633944157941932,-0.1015887846269638,0.0491482471338509,0.2402905551686185,0.2547671807755658,False,False,False,-0.3036849709628118,-0.318161596569759
ahi,phenotype_recovery,r2,gpt-5.6-luna,0.1777653431725343,0.1848579517307359,0.1457366913013905,0.2402905551686185,0.2547671807755658,False,False,False,-0.0625252119960841,-0.0770018376030314
ahi,phenotype_recovery,r2,grok-4.3,-0.0281790025630301,-0.0330149512647683,-0.0117891698979946,0.2402905551686185,0.2547671807755658,False,False,False,-0.2684695577316487,-0.282946183338596
ahi,phenotype_recovery,r2,llama-3.3-70b,-0.2552752256052548,0.0103729137125246,-0.2505782696857324,0.2402905551686185,0.2547671807755658,False,False,False,-0.4955657807738733,-0.5100424063808207
ahi,phenotype_recovery,r2,llama-4-maverick,0.0029055258935755,0.0166388521615238,-0.0280516540279449,0.2402905551686185,0.2547671807755658,False,False,False,-0.2372453852456598,-0.2519114663343313
ahi,phenotype_recovery,r2,nova-pro,0.0989820339497442,0.1162891570652546,0.0757569853565445,0.2402905551686185,0.2547671807755658,False,False,False,-0.1413085212188742,-0.1557851468258215
ahi,phenotype_recovery,r2,pixtral-large,-0.0987972513981958,0.1002416795532903,0.0245357281546935,0.2402905551686185,0.2547671807755658,False,False,False,-0.3390878065668143,-0.3535644321737616
alt,phenotype_recovery,r2,claude-haiku-4.5,-0.6520051885923954,-0.7906535492606319,-0.6181317086359874,0.0830741565504361,0.1198664853009164,False,False,False,-0.7350793451428316,-0.7718716738933119
alt,phenotype_recovery,r2,claude-opus-4.8,0.1797611721441593,0.0649735179419468,0.1891290032030601,0.0830741565504361,0.1198664853009164,True,True,True,0.0966870155937231,0.0598946868432428
alt,phenotype_recovery,r2,claude-sonnet-5,0.1863746369395267,0.1369901187836002,0.1858670572486859,0.0830741565504361,0.1198664853009164,True,True,True,0.1033004803890905,0.0665081516386102
alt,phenotype_recovery,r2,deepseek-v4-pro,-0.1644525023181129,-0.1143812586981076,-0.3326405257596692,0.0830741565504361,0.1198664853009164,False,False,False,-0.247526658868549,-0.2843189876190294
alt,phenotype_recovery,r2,gemini-3.1-flash-lite,0.1703634834563855,-0.1369834837549617,0.0662797892051402,0.0830741565504361,0.1198664853009164,True,True,True,0.0872893269059493,0.050496998155469
alt,phenotype_recovery,r2,gemini-3.7-flash,0.1979814915876131,0.1063188695238206,0.1649150633396422,0.0830741565504361,0.1198664853009164,True,True,True,0.1149073350371769,0.0781150062866966
alt,phenotype_recovery,r2,gpt-5.4-nano,-0.8802891545480633,-1.1378410612064802,-1.152471299354246,0.0830741565504361,0.1198664853009164,False,False,False,-0.9633633110984996,-1.00015563984898
alt,phenotype_recovery,r2,gpt-5.6-luna,0.0318315498929272,0.0393855299977938,-0.0245396534192789,0.0830741565504361,0.1198664853009164,False,False,False,-0.0512426066575089,-0.0880349354079892
alt,phenotype_recovery,r2,llama-3.3-70b,0.1006865264132197,-0.283043421286167,0.0489208623546721,0.0830741565504361,0.1198664853009164,True,True,False,0.0176123698627835,-0.0191799588876967
alt,phenotype_recovery,r2,llama-4-maverick,0.1397844942698234,0.1256821390005326,0.1028628489817718,0.0830741565504361,0.1198664853009164,True,True,True,0.0567103377193872,0.0199180089689069
alt,phenotype_recovery,r2,nova-pro,-0.4006751264180299,-0.5301487407545022,-1.307372677947321,0.0830741565504361,0.1198664853009164,False,False,False,-0.4837492829684661,-0.5205416117189464
alt,phenotype_recovery,r2,pixtral-large,0.1109587450506834,-0.0095063372817283,0.0184466734454542,0.0830741565504361,0.1198664853009164,True,True,False,0.0278845885002473,-0.0089077402502329
cimt,phenotype_recovery,r2,claude-haiku-4.5,-0.5208634392934761,-0.6199114515707556,-0.3510088529667452,0.324266424655624,0.3132421758212296,False,False,False,-0.8451298639491002,-0.8341056151147057
cimt,phenotype_recovery,r2,claude-opus-4.8,0.1718307957786663,0.1966819448019883,0.2807479509020733,0.324266424655624,0.3132421758212296,False,False,False,-0.1524356288769577,-0.1414113800425632
cimt,phenotype_recovery,r2,claude-sonnet-5,-0.2080955454156283,-0.2585878137623514,-0.0873727230299283,0.324266424655624,0.3132421758212296,False,False,False,-0.5323619700712524,-0.521337721236858
cimt,phenotype_recovery,r2,deepseek-v4-pro,-1.024771230361297,-0.9874561054922828,-0.6044905730046282,0.324266424655624,0.3132421758212296,False,False,False,-1.3490376550169212,-1.3380134061825266
cimt,phenotype_recovery,r2,gemini-3.1-flash-lite,0.0951268740029299,-0.1574441858279176,0.0365922691290128,0.324266424655624,0.3132421758212296,False,False,False,-0.2291395506526941,-0.2181153018182996
cimt,phenotype_recovery,r2,gemini-3.7-flash,0.0089828793557431,-0.0402597720779884,0.1043688082093644,0.324266424655624,0.3132421758212296,False,False,False,-0.3136307390539495,-0.3036203906995544
cimt,phenotype_recovery,r2,gpt-5.4-nano,-3.6019067008429757,-2.98750181405159,-2.5988035109835,0.324266424655624,0.3132421758212296,False,False,False,-3.9261731254986,-3.9151488766642046
cimt,phenotype_recovery,r2,gpt-5.6-luna,-0.3787785033764703,-0.5267553011148995,-0.1578611145974036,0.324266424655624,0.3132421758212296,False,False,False,-0.7030449280320944,-0.6920206791976999
cimt,phenotype_recovery,r2,llama-3.3-70b,-1.3980179337960337,-1.1449015750219376,-0.94083140007303,0.324266424655624,0.3132421758212296,False,False,False,-1.7222843584516578,-1.7112601096172633
cimt,phenotype_recovery,r2,llama-4-maverick,-0.3036216067717221,-0.3022391587465838,-0.0865443513958177,0.324266424655624,0.3132421758212296,False,False,False,-0.6278880314273462,-0.6168637825929517
cimt,phenotype_recovery,r2,nova-pro,-0.4310701485178179,-0.923100955560144,-0.6741889942720243,0.324266424655624,0.3132421758212296,False,False,False,-0.7553365731734419,-0.7443123243390475
